entity_id,state,last_changed
sensor.washing_machine_power,60.191,2025-09-17T16:59:13.691Z
sensor.washing_machine_power,52.001,2025-09-17T16:59:18.736Z
sensor.washing_machine_power,55.235,2025-09-17T16:59:28.818Z
sensor.washing_machine_power,14.498,2025-09-17T16:59:33.888Z
sensor.washing_machine_power,46.94,2025-09-17T16:59:38.962Z
sensor.washing_machine_power,51.196,2025-09-17T16:59:43.988Z
sensor.washing_machine_power,54.55,2025-09-17T16:59:49.050Z
sensor.washing_machine_power,44.134,2025-09-17T16:59:54.108Z
sensor.washing_machine_power,5.252,2025-09-17T16:59:59.165Z
sensor.washing_machine_power,42.305,2025-09-17T17:00:04.204Z
sensor.washing_machine_power,38.038,2025-09-17T17:00:09.260Z
sensor.washing_machine_power,64.926,2025-09-17T17:00:18.840Z
sensor.washing_machine_power,45.551,2025-09-17T17:00:19.536Z
sensor.washing_machine_power,57.42,2025-09-17T17:00:34.509Z
sensor.washing_machine_power,48.287,2025-09-17T17:00:39.553Z
sensor.washing_machine_power,51.517,2025-09-17T17:00:49.644Z
sensor.washing_machine_power,58.88,2025-09-17T17:00:54.750Z
sensor.washing_machine_power,53.143,2025-09-17T17:00:59.744Z
sensor.washing_machine_power,16.882,2025-09-17T17:01:04.822Z
sensor.washing_machine_power,55.327,2025-09-17T17:01:09.866Z
sensor.washing_machine_power,49.662,2025-09-17T17:01:14.915Z
sensor.washing_machine_power,36.967,2025-09-17T17:01:19.968Z
sensor.washing_machine_power,53.555,2025-09-17T17:01:25.044Z
sensor.washing_machine_power,4.751,2025-09-17T17:01:35.116Z
sensor.washing_machine_power,58.733,2025-09-17T17:01:40.206Z
sensor.washing_machine_power,49.665,2025-09-17T17:01:45.234Z
sensor.washing_machine_power,53.934,2025-09-17T17:01:50.277Z
sensor.washing_machine_power,45.95,2025-09-17T17:01:55.368Z
sensor.washing_machine_power,4.803,2025-09-17T17:02:05.435Z
sensor.washing_machine_power,47.674,2025-09-17T17:02:10.499Z
sensor.washing_machine_power,65.517,2025-09-17T17:02:20.766Z
sensor.washing_machine_power,45.943,2025-09-17T17:02:25.678Z
sensor.washing_machine_power,51.501,2025-09-17T17:02:30.709Z
sensor.washing_machine_power,4.809,2025-09-17T17:02:35.746Z
sensor.washing_machine_power,53.632,2025-09-17T17:02:40.806Z
sensor.washing_machine_power,39.936,2025-09-17T17:02:45.849Z
sensor.washing_machine_power,60.071,2025-09-17T17:02:50.964Z
sensor.washing_machine_power,53.912,2025-09-17T17:02:56.004Z
sensor.washing_machine_power,687.987,2025-09-17T17:03:00.993Z
sensor.washing_machine_power,2567.394,2025-09-17T17:03:02.157Z
sensor.washing_machine_power,47.635,2025-09-17T17:03:42.566Z
sensor.washing_machine_power,43.524,2025-09-17T17:03:48.816Z
sensor.washing_machine_power,53.3,2025-09-17T17:03:53.843Z
sensor.washing_machine_power,49.144,2025-09-17T17:03:58.868Z
sensor.washing_machine_power,43.723,2025-09-17T17:04:03.945Z
sensor.washing_machine_power,4.822,2025-09-17T17:04:09.011Z
sensor.washing_machine_power,47.286,2025-09-17T17:04:14.058Z
sensor.washing_machine_power,58.488,2025-09-17T17:04:19.111Z
sensor.washing_machine_power,48.429,2025-09-17T17:04:34.234Z
sensor.washing_machine_power,54.024,2025-09-17T17:04:39.315Z
sensor.washing_machine_power,63.061,2025-09-17T17:04:54.448Z
sensor.washing_machine_power,45.367,2025-09-17T17:04:59.499Z
sensor.washing_machine_power,58.52,2025-09-17T17:05:04.567Z
sensor.washing_machine_power,51.406,2025-09-17T17:05:09.607Z
sensor.washing_machine_power,12.951,2025-09-17T17:05:14.682Z
sensor.washing_machine_power,58.118,2025-09-17T17:05:19.881Z
sensor.washing_machine_power,53.017,2025-09-17T17:05:25.543Z
sensor.washing_machine_power,43.808,2025-09-17T17:05:34.878Z
sensor.washing_machine_power,4.753,2025-09-17T17:05:44.962Z
sensor.washing_machine_power,46.011,2025-09-17T17:05:50.029Z
sensor.washing_machine_power,56.497,2025-09-17T17:05:55.088Z
sensor.washing_machine_power,60.539,2025-09-17T17:06:00.160Z
sensor.washing_machine_power,45.558,2025-09-17T17:06:05.225Z
sensor.washing_machine_power,57.586,2025-09-17T17:06:10.249Z
sensor.washing_machine_power,4.779,2025-09-17T17:06:15.292Z
sensor.washing_machine_power,46.231,2025-09-17T17:06:20.354Z
sensor.washing_machine_power,56.855,2025-09-17T17:06:25.404Z
sensor.washing_machine_power,63.198,2025-09-17T17:06:30.444Z
sensor.washing_machine_power,39.965,2025-09-17T17:06:35.512Z
sensor.washing_machine_power,50.064,2025-09-17T17:06:40.635Z
sensor.washing_machine_power,4.793,2025-09-17T17:06:46.558Z
sensor.washing_machine_power,42.944,2025-09-17T17:06:50.735Z
sensor.washing_machine_power,54.306,2025-09-17T17:06:55.725Z
sensor.washing_machine_power,67.553,2025-09-17T17:07:00.759Z
sensor.washing_machine_power,43.144,2025-09-17T17:07:10.869Z
sensor.washing_machine_power,8.756,2025-09-17T17:07:15.921Z
sensor.washing_machine_power,42.588,2025-09-17T17:07:21.022Z
sensor.washing_machine_power,47.873,2025-09-17T17:07:26.049Z
sensor.washing_machine_power,67.515,2025-09-17T17:07:36.153Z
sensor.washing_machine_power,49.596,2025-09-17T17:07:41.158Z
sensor.washing_machine_power,46.768,2025-09-17T17:07:46.230Z
sensor.washing_machine_power,62.586,2025-09-17T17:07:51.312Z
